,generation,score,fate,mol,smiles
0,0,0.5808118985495873,initial,<rdkit.Chem.rdchem.Mol object at 0x1551bc0fa3b0>,FC=CCS[C@H]1[C@@H]2CC=CCC(CS)[C@@H]21
1,1,0.501175058786128,survived,<rdkit.Chem.rdchem.Mol object at 0x1551885c2f20>,FC1=CCSC2C3CC=CCC(C1S)C32
2,1,0.6928270170472699,survived,<rdkit.Chem.rdchem.Mol object at 0x1551885c2fc0>,FC=CCSC1C2CC=CC3CC21CS3
3,1,0.6376623075211614,survived,<rdkit.Chem.rdchem.Mol object at 0x1551885c30b0>,FC1CCSC2C3CCCCC(C1S)C32
4,1,0.6025975990935976,survived,<rdkit.Chem.rdchem.Mol object at 0x1551885c31a0>,FC1CCCC2C3CCCCSC1CC32
5,1,0.6376623075211614,survived,<rdkit.Chem.rdchem.Mol object at 0x1551885c32e0>,FC1CCSC2C3CCCCC(C1S)C32
6,1,0.6376623075211614,survived,<rdkit.Chem.rdchem.Mol object at 0x1551d6607010>,FC1CCSC2C3CCCCC(C1S)C32
7,1,0.46904935308608714,survived,<rdkit.Chem.rdchem.Mol object at 0x1551885c2ed0>,FC1=CCSC2C3CC=CCC(C1=S)C32
8,1,0.6946452866801893,survived,<rdkit.Chem.rdchem.Mol object at 0x1551885c3420>,FC=CCSC1C2CC=CC3SCC3C21
9,2,0.6499591915433085,survived,<rdkit.Chem.rdchem.Mol object at 0x1551886fc950>,C=CCC1SCC1C1CC1SC=CCF
10,2,0.441208099055732,survived,<rdkit.Chem.rdchem.Mol object at 0x1551886fcf90>,FC=CC[SH]1C2C3C4CSC4C=CCC321
11,2,0.5809316914612159,survived,<rdkit.Chem.rdchem.Mol object at 0x1551886fd4e0>,C=CCCC1C(S)C(F)C=CSC2CC21
12,2,0.5027963448361399,survived,<rdkit.Chem.rdchem.Mol object at 0x1551886fda80>,FC1CC2SC23C2CCCCCC23C1S
13,2,0.5760048840498839,survived,<rdkit.Chem.rdchem.Mol object at 0x1551886fce00>,C=C(C(S)C=CC)C1CC1SC.CCF
14,2,0.38345802983812843,survived,<rdkit.Chem.rdchem.Mol object at 0x1551886fe0c0>,CC=CF.SC1C2CC=CCC3(CS3)C12
15,2,0.38201467643746145,survived,<rdkit.Chem.rdchem.Mol object at 0x1551886fcb80>,C=CCCCC1C(CS)C1SC=CCF
16,2,0.598014995531201,survived,<rdkit.Chem.rdchem.Mol object at 0x1551886fed40>,FC1CCCC2C3CCCCC(C1S)C32
17,3,0.6756098075966941,purged,<rdkit.Chem.rdchem.Mol object at 0x1551d79d6200>,C=CCC1CC23CC2SCC=C(F)C3S1
18,3,0.5591907981518647,purged,<rdkit.Chem.rdchem.Mol object at 0x1551886ff560>,FC1=CCCC2C3CCCCC(C1=S)C23
19,3,0.41091541364695894,purged,<rdkit.Chem.rdchem.Mol object at 0x1551886ff510>,C=CCCS.CCCC1(C)SC1CCF
20,3,0.545153568943053,purged,<rdkit.Chem.rdchem.Mol object at 0x1551b044f6a0>,C=CCCS.CC=CCSC1CC1(C)C
21,3,0.6836240117393599,purged,<rdkit.Chem.rdchem.Mol object at 0x15518953ae30>,C=CCC1SCC1C1CC1SC.C=CF
22,3,0.59175463098652,purged,<rdkit.Chem.rdchem.Mol object at 0x1551d6607150>,FC1=C2SC3CCCC4C(CCC1)C24C3
23,3,0.7331975841345335,purged,<rdkit.Chem.rdchem.Mol object at 0x1551b044f880>,FCC=CSC1C2CCCCC(CS)C21
24,3,0.49210789376518427,purged,<rdkit.Chem.rdchem.Mol object at 0x1551886ff8d0>,C=CCCS.CCC1CC1CCC=CF
