,generation,score,fate,mol,smiles
0,0,0.848867331485246,initial,<rdkit.Chem.rdchem.Mol object at 0x150d807290e0>,C[C@]1(C[C@]2(O)N[C@@H]2Oc2cc(Cl)cc3ccsc23)CC1=O
1,1,0.7387033972730056,survived,<rdkit.Chem.rdchem.Mol object at 0x150d9cdb3560>,CC1(CC2(O)NC2Oc2cc(Cl)cc3c2SCC3)CC1N
2,1,0.690579533183246,survived,<rdkit.Chem.rdchem.Mol object at 0x150d9e37dbc0>,CC1(CC2(O)CC2Oc2cc(Cl)nc3ccsc23)OC1=O
3,1,0.8505660196005088,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6d0ddee0>,CC1(CC2(O)NC2Cc2cc(Cl)cc3ccsc23)CC1=O
4,1,0.4028269349313613,survived,<rdkit.Chem.rdchem.Mol object at 0x150d9cdb3600>,O=C(CC1(O)NC1OC1=CC(Cl)=CC2=CC=NC21)NCO
5,1,0.6559390723283545,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd5670>,CC1(CC2(F)NC2Oc2cc(Cl)cc3c2SCO3)CC1O
6,1,0.834590996657252,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6d1054e0>,CC1(CC2(C)NC2Oc2cc(Cl)cc3c2SCC3)CC1O
7,1,0.5496504984600735,survived,<rdkit.Chem.rdchem.Mol object at 0x150dbaf352b0>,CC1(OC2(O)NC2Oc2cc(Cl)cc3c2OCO3)CC1N
8,1,0.66311978431449,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd66b0>,CC1=CC2=NN=CC2C(OC2NC2(O)CC2(C)CC2O)=C1
9,1,0.7563581382159905,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd5e40>,CC1(CC2(O)CC2Nc2cc(Cl)nc3ccsc23)CC1O
10,1,0.5839897903517807,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd6110>,CC(O)(C=N)CC1(O)OC1Cc1cc(Cl)cc2ccsc12
11,1,0.792780065988736,survived,<rdkit.Chem.rdchem.Mol object at 0x150d804e1ad0>,CC(C)(CO)CS(=O)(=O)COC1CC(Cl)Cc2scnc21
12,1,0.8830473381747211,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd6e30>,Cc1cc2ccsc2c(OC2CC2(C)CC2(C)NC2=O)n1
13,1,0.8134459293549461,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd64d0>,CC1(CC(=O)NCCc2cc(Cl)cc3c2SCC3)OC1O
14,1,0.5410933320788349,survived,<rdkit.Chem.rdchem.Mol object at 0x150d804e1760>,CC1CC1(O)OC1(O)NC1CC1=CC(Cl)=CC2=CN=CC21
15,1,0.9405202556624643,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd7b00>,Cc1cc(OC2CC2(C)CC2(O)CC2=O)c2sccc2c1
16,1,0.7746914954474463,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd7330>,CC1C=C(OC2NC2(O)CC2(C)CC2C)C2CCOC2=N1
17,1,0.5061374703594602,survived,<rdkit.Chem.rdchem.Mol object at 0x150d9e37ebb0>,C=C1CC1(C)OC(=O)C(O)Nc1cc(Cl)cc2c1SCC2
18,1,0.7580934218734268,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd7d80>,CC1(CC2(O)NC2Cc2cc(Cl)cc3ccsc23)CC1O
19,1,0.8385987797877077,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6d107510>,CC(N)(F)C#N.Cc1cc2c(c(OC(C)CO)c1)SCC2
20,1,0.8500075514363497,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd5940>,CC1(CC2(F)CC2Oc2cc(Cl)cc3c2SCC3)OC1=N
21,1,0.5810977386445053,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd73d0>,CC(O)(C#N)CC1(O)NC1Cc1cc(Cl)cc2c1SCC2
22,1,0.6243551425724735,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd5260>,CC1(NC2(O)CC2Oc2cc(N)nc3sccc23)CC1O
23,1,0.6732970853362072,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd6c00>,OC(Cc1cc(Cl)cc2ccsc12)C(O)CC1(O)CC1O
24,1,0.6694421184535931,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd6700>,CC(=N)N(C)CC1(O)CC1Oc1cc(Cl)cc2ccsc12
25,1,0.7437635773222688,survived,<rdkit.Chem.rdchem.Mol object at 0x150d81a10f90>,O=C1CC1(O)CC1(O)NC1Oc1cc(Cl)cc2ccsc12
26,1,0.5740078332107729,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd68e0>,C=C(O)C(C)CC1(O)NC1Cc1cc(Cl)cc2c1SCC2
27,1,0.657438193796586,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd6f20>,C=C1CC1(C)CC1(O)NC1Cc1cc(Cl)cc2ccsc12
28,1,0.3981443250926891,survived,<rdkit.Chem.rdchem.Mol object at 0x150d804e0e00>,CC(C)(C=O)NC1(O)NC1OC1C=C(Cl)CC2CCSC21
29,1,0.8897365282755015,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd6e80>,CC1(CC2(O)CC2Oc2cc(Cl)cc3c2SCO3)CC1O
30,1,0.5777511541738838,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd6570>,Cc1cc(OC2NC2(O)OC2(C)CC2N)c2occc2c1
31,1,0.5953849761218327,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6cfd5a80>,CC1(OC2(O)NC2Cc2cc(Cl)cc3ccsc23)CC1O
32,1,0.5162250922382178,survived,<rdkit.Chem.rdchem.Mol object at 0x150d6d1d9a30>,NC1(CC2(O)NC2Oc2cc(Cl)cc3c2SCN3)CC1O
33,2,0.8874052073266,survived,<rdkit.Chem.rdchem.Mol object at 0x150d9cdb2f20>,Cc1cc2c(c(OC3CC3(F)CC3(O)CC3O)n1)SCC2
